;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
37797;2203305;83;25202000.0;3695993.43;;;;3316.04;7975344.73;11411.53
43206;2203305;95;27878000.0;4305598.54;;;;1721.51;9099407.14;1427.13
45123;2203305;107;30067000.0;4106270.17;;;;2537.11;9726491.3;2998.35
53387;2203305;119;33845000.0;3838056.94;;;;9832.0;10397870.92;3679.16
59570;2203305;131;40503000.0;4127647.52;0.618;13278.0;;19697.0;11014290.88;2685.24
63048;2203305;143;50894000.0;5082884.0;;;;38457.75;14128183.47;6321.74
72077;2203305;155;68103000.0;5234747.37;;;8.8;40500.0;13965132.09;1011.81
74031;2203305;167;84313000.0;5629760.49;;;9.1;;332585.57;4790.63
80887;2203305;179;125748000.0;6120530.71;;;7.1;;441700.07;1033.0
85176;2203305;191;;6517601.67;;;7.7;;476683.81;120839.04
93887;2203305;203;;1259347.97;;13575.0;10.3;;777499.88;1570.94
4148;2211001;11;;51515967.45;0.62;715266.0;;2147577.89;274898871.11;6351086.76
6009;2211001;23;;60640768.04;;;;2061171.02;301925042.97;6472878.86
16550;2211001;35;3521169000.0;75017174.79;;;;145000.0;399617506.0;10276161.0
21830;2211001;47;4018895000.0;77977973.54;;;;1945023.0;417160540.0;10405457.0
22641;2211001;59;4248470000.0;85963437.05;;;;2755835.0;494735857.0;12075307.0
29980;2211001;71;4995762000.0;110527404.37;;;;3389067.0;604134324.0;12177649.0
37805;2211001;83;6644581000.0;145172113.18;;;;4096929.51;728352274.8;12939154.04
43184;2211001;95;6422132000.0;177101155.0;;;;4219427.1;811392250.5;14292843.23
45255;2211001;107;7263144000.0;175065763.93;;;;6460714.81;963935345.8;16479558.93
53308;2211001;119;8692782000.0;175031565.47;;;;8504842.75;1075914005.06;19284257.4
59425;2211001;131;10627694000.0;223584590.61;0.7509999999999999;814230.0;;11331681.4;1265602236.2;21574331.79
63126;2211001;143;12174255000.0;240869735.05;;;;12687450.11;1469082185.39;32072447.04
96613;2211001;146;;;;;10.0;;;
96614;2211001;149;;;;;8.5;;;
96615;2211001;152;;;;;8.3;;;
71953;2211001;155;13347531000.0;287535951.44;;;8.8;16815837.07;1656733979.04;30880569.0
96616;2211001;158;;;;;11.0;;;
96617;2211001;161;;;;;9.9;;;
96618;2211001;164;;;;;9.6;;;
73923;2211001;167;14753990000.0;307981932.44;;;9.1;;264911674.2;37570848.94
96619;2211001;170;;;;;9.2;;;
96620;2211001;173;;;;;8.0;;;
96621;2211001;176;;;;;7.3;;;
80803;2211001;179;17762266000.0;340686983.33;;;7.1;;324537430.3;46471512.47
96622;2211001;182;;;;;10.5;;;
96623;2211001;185;;;;;10.8;;;
96624;2211001;188;;;;;9.0;;;
85193;2211001;191;;361058799.99;;;7.7;;355387722.0;49538317.47
96625;2211001;194;;;;;9.4;;;
96626;2211001;197;;;;;9.6;;;
96627;2211001;200;;;;;6.8;;;
93796;2211001;203;;70081582.52;;847430.0;10.3;;411663494.5;64406812.62
96628;2211001;206;;;;;11.9;;;
2814;2301000;11;;4637699.27;0.499;59362.0;;280030.29;14809863.83;343667.74
6953;2301000;23;;5350160.52;;;;652002.17;20153469.04;356364.74
12709;2301000;35;253877000.0;7102519.61;;;;506945.28;29049765.25;559739.03
21588;2301000;47;272761000.0;7414114.28;;;;696722.97;29573532.05;763216.94
24672;2301000;59;322330000.0;8141197.99;;;;896689.8;36368735.61;708847.31
31108;2301000;71;344180000.0;10128465.49;;;;1173064.84;45613615.57;1330206.2
36898;2301000;83;371462000.0;11223364.57;;;;2062765.78;55208907.4;2312310.66
44360;2301000;95;408212000.0;12869087.93;;;;3334606.01;63838301.27;3200045.42
46440;2301000;107;528899000.0;15826272.59;;;;4544320.47;83115765.73;3448727.24
53159;2301000;119;615087000.0;14768018.33;;;;3326742.64;82214847.18;3816292.39
59940;2301000;131;768348000.0;17119798.06;0.6409999999999999;72628.0;;3246067.67;97840395.36;4312209.05
66340;2301000;143;877881000.0;21040624.08;;;;3920137.28;120460139.76;4507873.8
67202;2301000;155;1087571000.0;21644308.3;;;8.4;5340024.81;132780436.87;5728827.6
74378;2301000;167;1548885000.0;23224113.71;;;7.3;;26426555.03;6142501.69
80173;2301000;179;1601415000.0;25133632.58;;;6.5;;36992413.09;10232736.68
88553;2301000;191;;26774585.64;;;9.2;;46494207.71;14853466.59
93156;2301000;203;;5159790.88;;78438.0;12.1;;55501176.62;19017185.82
2841;2301901;11;;4216090.28;0.517;47031.0;;12237.0;16513428.0;23989.0
6986;2301901;23;;4863782.36;;;;16622.74;19147872.71;36012.28
12692;2301901;35;152974000.0;5921722.96;;;;21990.42;28675138.25;32988.55
